INFO 2020-07-19 15:17:38,835 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-19 15:21:25,345 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-19 15:22:22,566 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-19 15:22:28,167 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 15:38:18,782 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-19 15:48:08,741 log 228 Not Found: /
WARNING 2020-07-19 15:48:08,741 basehttp 154 "GET / HTTP/1.1" 404 2152
WARNING 2020-07-19 15:48:08,811 log 228 Not Found: /favicon.ico
WARNING 2020-07-19 15:48:08,811 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2203
INFO 2020-07-19 15:55:17,051 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-19 15:56:36,518 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:01:41,055 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:02:11,118 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:02:11,364 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:02:28,415 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:02:37,175 basehttp 154 "GET /home/home/ HTTP/1.1" 200 11
INFO 2020-07-19 16:30:15,629 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-19 16:30:18,878 log 228 Not Found: /
WARNING 2020-07-19 16:30:18,879 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-19 16:30:19,714 log 228 Not Found: /favicon.ico
WARNING 2020-07-19 16:30:19,715 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2204
INFO 2020-07-19 16:30:26,685 basehttp 154 "GET /xadmin HTTP/1.1" 301 0
INFO 2020-07-19 16:30:26,951 basehttp 154 "GET /xadmin/ HTTP/1.1" 200 4151
INFO 2020-07-19 16:30:26,983 basehttp 154 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2020-07-19 16:30:26,984 basehttp 154 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-07-19 16:30:26,984 basehttp 154 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-07-19 16:30:26,984 basehttp 154 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-07-19 16:30:26,988 basehttp 154 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2020-07-19 16:30:26,996 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2020-07-19 16:30:26,996 basehttp 154 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
